Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|04|2019-20 - 6.90% KSDL 2030 (DOM: 18-02-2030)|241|Interest Payments|2049-01-101-4-04|Interest Payments|C|Data|Object-Head||13800.00|13800.00|13800.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|04|2019-20 - 6.90% KSDL 2030 (DOM: 18-02-2030)|||2049-01-101-4-04|HOA Total :|C|Total|Detailed-Head|13800.00|13800.00|13800.00|13800.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|05|2019-20 - 6.97% KSDL 2030 (DOM : 26-02-2030)|||2049-01-101-4-05|2019-20 - 6.97% KSDL 2030 (DOM : 26-02-2030)|C|Header|Detailed-Head||||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|05|2019-20 - 6.97% KSDL 2030 (DOM : 26-02-2030)|240|Repayment of Borrowings|2049-01-101-4-05|Repayment of Borrowings|C|Data|Object-Head|16728.00|||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|05|2019-20 - 6.97% KSDL 2030 (DOM : 26-02-2030)|241|Interest Payments|2049-01-101-4-05|Interest Payments|C|Data|Object-Head||16728.00|16728.00|16728.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|05|2019-20 - 6.97% KSDL 2030 (DOM : 26-02-2030)|||2049-01-101-4-05|HOA Total :|C|Total|Detailed-Head|16728.00|16728.00|16728.00|16728.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|06|2019-20 - 6.97% KSDL 2028 (DOM : 26-02-2028)|||2049-01-101-4-06|2019-20 - 6.97% KSDL 2028 (DOM : 26-02-2028)|C|Header|Detailed-Head||||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|06|2019-20 - 6.97% KSDL 2028 (DOM : 26-02-2028)|240|Repayment of Borrowings|2049-01-101-4-06|Repayment of Borrowings|C|Data|Object-Head|17425.00|||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|06|2019-20 - 6.97% KSDL 2028 (DOM : 26-02-2028)|241|Interest Payments|2049-01-101-4-06|Interest Payments|C|Data|Object-Head||17425.00|17425.00|17425.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|06|2019-20 - 6.97% KSDL 2028 (DOM : 26-02-2028)|||2049-01-101-4-06|HOA Total :|C|Total|Detailed-Head|17425.00|17425.00|17425.00|17425.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|07|2019-20 - 7.08% KSDL 2031 (DOM : 04-03-2031)|||2049-01-101-4-07|2019-20 - 7.08% KSDL 2031 (DOM : 04-03-2031)|C|Header|Detailed-Head||||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|07|2019-20 - 7.08% KSDL 2031 (DOM : 04-03-2031)|240|Repayment of Borrowings|2049-01-101-4-07|Repayment of Borrowings|C|Data|Object-Head|7080.00|||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|07|2019-20 - 7.08% KSDL 2031 (DOM : 04-03-2031)|241|Interest Payments|2049-01-101-4-07|Interest Payments|C|Data|Object-Head||7080.00|7080.00|7080.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|07|2019-20 - 7.08% KSDL 2031 (DOM : 04-03-2031)|||2049-01-101-4-07|HOA Total :|C|Total|Detailed-Head|7080.00|7080.00|7080.00|7080.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|08|2019-20 - 7.09% KSDL 2030 (DOM : 18-03-2030)|||2049-01-101-4-08|2019-20 - 7.09% KSDL 2030 (DOM : 18-03-2030)|C|Header|Detailed-Head||||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|08|2019-20 - 7.09% KSDL 2030 (DOM : 18-03-2030)|240|Repayment of Borrowings|2049-01-101-4-08|Repayment of Borrowings|C|Data|Object-Head|17725.00|||
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|08|2019-20 - 7.09% KSDL 2030 (DOM : 18-03-2030)|241|Interest Payments|2049-01-101-4-08|Interest Payments|C|Data|Object-Head||17725.00|17725.00|17725.00
158|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|08|2019-20 - 7.09% KSDL 2030 (DOM : 18-03-2030)|||2049-01-101-4-08|HOA Total :|C|Total|Detailed-Head|17725.00|17725.00|17725.00|17725.00
